name,email,phone,date,place,coach,service,status,price,sport,serviceHistory
Klara Forsberg,klara.forsberg@example.com,0787890123,2024-10-19,Stockholm,Jenny Nae,Membership Premium,Aktiv,2195,Löpning,
Linnea Jansson,linnea.jansson@example.com,0788901234,2024-08-14,Linköping,Andreas Nilsson,VO2max fristående,Genomförd,1390,Cykel,
Ingrid Bergman,ingrid.bergman@example.com,0789012345,2024-10-12,Falun,Johan Nielsen,Membership Supreme TRI/OCR/MULTI,Aktiv,3395,Triathlon,
Siri Strömberg,siri.stromberg@example.com,0790123456,2024-07-28,Åre,Jenny Nae,Membership Standard TRI/OCR/MULTI,Inaktiv,1295,OCR,
Majken Ek,majken.ek@example.com,0791234567,2024-10-05,Stockholm,Erik Olsson,Tröskeltest Triathlon,Genomförd,2690,Triathlon,
Ebba Lundberg,ebba.lundberg@example.com,0792345678,2024-10-13,Göteborg,Johan Hasselmark,Membership Premium,Aktiv,2195,Löpning,
Astrid Lindgren,astrid.lindgren@example.com,0793456789,2024-09-20,Malmö,Gabriel Sandör,Membership Supreme,Aktiv,3295,Cykel,
Signe Andersson,signe.andersson@example.com,0794567890,2024-08-18,Stockholm,Jenny Nae,Membership Standard,Aktiv,1195,Löpning,
Freja Bergström,freja.bergstrom@example.com,0795678901,2024-06-10,Linköping,Andreas Nilsson,Membership Aktivitus Iform 4 mån,Inaktiv,1998,Multisport,
Hedda Ek,hedda.ek@example.com,0796789012,2024-10-11,Falun,Johan Nielsen,Tröskeltest,Genomförd,1890,Löpning,
Olivia Larsson,olivia.larsson@example.com,0797890123,2024-10-22,Åre,Jenny Nae,Membership Premium TRI/OCR/MULTI,Aktiv,2295,Multisport,
Stella Berg,stella.berg@example.com,0798901234,2024-07-24,Stockholm,Erik Olsson,Membership Supreme TRI/OCR/MULTI,Inaktiv,3395,Triathlon,
Alva Sandberg,alva.sandberg@example.com,0799012345,2024-10-09,Göteborg,Johan Hasselmark,Membership Standard,Aktiv,1195,Löpning,
Lilly Forsberg,lilly.forsberg@example.com,0800123456,2024-09-15,Malmö,Gabriel Sandör,Funktionsanalys,Genomförd,1790,Löpning,
Ella Jansson,ella.jansson@example.com,0801234567,2024-10-16,Stockholm,Jenny Nae,Membership Premium,Aktiv,2195,Cykel,
Nora Bergman,nora.bergman@example.com,0802345678,2024-08-29,Linköping,Andreas Nilsson,Membership Supreme,Aktiv,3295,Löpning
